customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,internet_service,num_support_calls,num_late_payments,churn
1,56,Female,14,93.2,1304.8,One year,DSL,1,3,0
2,61,Female,37,20.08,742.96,Two year,Fiber optic,1,0,0
3,59,Female,59,56.64,3341.76,Month-to-month,Fiber optic,1,1,0
4,38,Male,38,21.33,810.54,Two year,Fiber optic,1,0,0
5,77,Male,43,69.52,2989.36,Month-to-month,No,2,1,1
6,35,Female,43,113.95,4899.85,Two year,Fiber optic,1,0,1
7,57,Male,52,78.68,4091.36,Two year,Fiber optic,1,0,1
8,26,Female,0,39.87,0.0,Month-to-month,No,3,0,1
9,24,Male,71,64.95,4611.45,Month-to-month,Fiber optic,3,1,0
10,20,Male,4,76.13,304.52,One year,Fiber optic,2,0,1
11,56,Male,51,76.33,3892.83,One year,DSL,2,3,0
12,79,Male,5,65.65,328.25,Month-to-month,Fiber optic,2,0,0
13,18,Male,26,62.71,1630.46,Two year,No,0,1,0
14,68,Female,43,44.41,1909.63,Month-to-month,DSL,2,0,1
15,56,Female,2,50.09,100.18,Month-to-month,DSL,2,0,0
16,36,Female,1,73.09,73.09,Month-to-month,Fiber optic,1,1,0
17,22,Female,69,59.88,4131.72,Two year,Fiber optic,1,2,0
18,43,Male,18,54.87,987.66,Month-to-month,No,3,1,0
19,59,Male,6,86.0,516.0,Two year,Fiber optic,1,0,0
20,54,Female,8,47.89,383.12,One year,No,6,1,0
21,42,Male,17,36.08,613.36,One year,Fiber optic,2,0,0
22,37,Female,7,104.92,734.44,One year,Fiber optic,0,0,1
23,63,Female,37,117.89,4361.93,Month-to-month,No,2,2,1
24,21,Male,63,84.55,5326.65,Month-to-month,No,3,4,1
25,38,Female,32,51.69,1654.08,Month-to-month,Fiber optic,3,2,0
26,19,Female,16,104.87,1677.92,Month-to-month,Fiber optic,2,0,0
27,77,Female,6,70.15,420.9,One year,Fiber optic,4,0,0
28,39,Male,24,35.5,852.0,Two year,No,2,0,0
29,54,Male,7,97.0,679.0,Month-to-month,Fiber optic,0,0,1
30,64,Male,54,33.84,1827.36,Month-to-month,No,1,1,0
31,43,Male,61,103.6,6319.6,One year,Fiber optic,1,0,0
32,65,Male,0,115.49,0.0,One year,Fiber optic,2,0,0
33,74,Male,68,29.42,2000.56,Month-to-month,No,1,2,0
34,54,Male,9,114.91,1034.19,Two year,DSL,0,2,0
35,33,Female,1,22.65,22.65,One year,No,3,2,0
36,27,Male,43,47.4,2038.2,Month-to-month,Fiber optic,0,1,0
37,46,Female,33,46.07,1520.31,Month-to-month,Fiber optic,2,2,0
38,41,Female,48,93.16,4471.68,Month-to-month,DSL,3,2,1
39,66,Female,12,109.55,1314.6,Month-to-month,DSL,1,0,0
40,69,Male,15,64.84,972.6,Month-to-month,DSL,4,1,0
41,22,Male,17,116.87,1986.79,One year,No,3,1,1
42,46,Male,37,118.66,4390.42,Month-to-month,Fiber optic,5,2,0
43,56,Female,66,45.37,2994.42,Month-to-month,Fiber optic,5,1,1
44,50,Female,5,100.21,501.05,Two year,Fiber optic,1,2,0
45,74,Female,46,82.94,3815.24,One year,Fiber optic,3,0,0
46,25,Female,23,82.01,1886.23,Month-to-month,DSL,2,0,0
47,44,Female,62,73.61,4563.82,Month-to-month,No,1,4,1
48,73,Female,4,22.64,90.56,Month-to-month,No,2,2,0
49,51,Male,0,21.37,0.0,Month-to-month,Fiber optic,5,1,1
50,18,Male,44,80.62,3547.28,Month-to-month,Fiber optic,2,1,0
51,76,Female,11,101.64,1118.04,Two year,DSL,3,3,0
52,51,Female,49,78.99,3870.51,Month-to-month,Fiber optic,3,1,0
53,22,Male,3,65.93,197.79,Two year,Fiber optic,0,0,0
