customer_id,age,tenure_months,monthly_charges,num_support_calls,num_late_payments,avg_monthly_spend,gender_male,contract_monthly,contract_one_year,contract_two_year,label
1,56,14,93.2,1,3,93.2,0,0,1,0,0
2,61,37,20.08,1,0,20.080000000000002,0,0,0,1,0
3,59,59,56.64,1,1,56.64,0,1,0,0,0
4,38,38,21.33,1,0,21.33,1,0,0,1,0
5,77,43,69.52,2,1,69.52,1,1,0,0,1
6,35,43,113.95,1,0,113.95,0,0,0,1,1
7,57,52,78.68,1,0,78.68,1,0,0,1,1
8,26,0,39.87,3,0,0.0,0,1,0,0,1
9,24,71,64.95,3,1,64.95,1,1,0,0,0
10,20,4,76.13,2,0,76.13,1,0,1,0,1
11,56,51,76.33,2,3,76.33,1,0,1,0,0
12,79,5,65.65,2,0,65.65,1,1,0,0,0
13,18,26,62.71,0,1,62.71,1,0,0,1,0
14,68,43,44.41,2,0,44.410000000000004,0,1,0,0,1
15,56,2,50.09,2,0,50.09,0,1,0,0,0
16,36,1,73.09,1,1,73.09,0,1,0,0,0
17,22,69,59.88,1,2,59.88,0,0,0,1,0
18,43,18,54.87,3,1,54.87,1,1,0,0,0
19,59,6,86.0,1,0,86.0,1,0,0,1,0
20,54,8,47.89,6,1,47.89,0,0,1,0,0
21,42,17,36.08,2,0,36.08,1,0,1,0,0
22,37,7,104.92,0,0,104.92,0,0,1,0,1
23,63,37,117.89,2,2,117.89000000000001,0,1,0,0,1
24,21,63,84.55,3,4,84.55,1,1,0,0,1
25,38,32,51.69,3,2,51.69,0,1,0,0,0
26,19,16,104.87,2,0,104.87,0,1,0,0,0
27,77,6,70.15,4,0,70.14999999999999,0,0,1,0,0
28,39,24,35.5,2,0,35.5,1,0,0,1,0
29,54,7,97.0,0,0,97.0,1,1,0,0,1
30,64,54,33.84,1,1,33.839999999999996,1,1,0,0,0
31,43,61,103.6,1,0,103.60000000000001,1,0,1,0,0
32,65,0,115.49,2,0,0.0,1,0,1,0,0
33,74,68,29.42,1,2,29.419999999999998,1,1,0,0,0
34,54,9,114.91,0,2,114.91000000000001,1,0,0,1,0
35,33,1,22.65,3,2,22.65,0,0,1,0,0
36,27,43,47.4,0,1,47.4,1,1,0,0,0
37,46,33,46.07,2,2,46.07,0,1,0,0,0
38,41,48,93.16,3,2,93.16000000000001,0,1,0,0,1
39,66,12,109.55,1,0,109.55,0,1,0,0,0
40,69,15,64.84,4,1,64.84,1,1,0,0,0
41,22,17,116.87,3,1,116.87,1,0,1,0,1
42,46,37,118.66,5,2,118.66,1,1,0,0,0
43,56,66,45.37,5,1,45.370000000000005,0,1,0,0,1
44,50,5,100.21,1,2,100.21000000000001,0,0,0,1,0
45,74,46,82.94,3,0,82.94,0,0,1,0,0
46,25,23,82.01,2,0,82.01,0,1,0,0,0
47,44,62,73.61,1,4,73.61,0,1,0,0,1
48,73,4,22.64,2,2,22.64,0,1,0,0,0
49,51,0,21.37,5,1,0.0,1,1,0,0,1
50,18,44,80.62,2,1,80.62,1,1,0,0,0
51,76,11,101.64,3,3,101.64,0,0,0,1,0
52,51,49,78.99,3,1,78.99000000000001,0,1,0,0,0
53,22,3,65.93,0,0,65.92999999999999,1,0,0,1,0
54,19,42,44.01,0,0,44.010000000000005,1,1,0,0,1
55,25,3,54.57,1,0,54.57,0,0,0,1,1
56,22,41,37.7,1,0,37.7,0,1,0,0,0
57,62,25,99.94,2,0,99.94,1,0,1,0,0
58,66,51,40.93,2,1,40.93,1,1,0,0,1
59,24,22,71.17,2,0,71.17,1,0,1,0,0
60,27,56,104.07,1,1,104.07000000000001,1,1,0,0,0
61,35,33,75.77,1,2,75.77,1,0,1,0,0
62,23,32,20.75,2,1,20.75,1,1,0,0,0
63,20,30,61.04,4,0,61.04,1,0,0,1,0
64,74,7,67.66,3,2,67.66,0,0,0,1,1
65,79,2,25.18,0,1,25.18,1,1,0,0,0
66,18,16,31.67,1,2,31.67,1,1,0,0,0
67,28,33,38.12,2,1,38.120000000000005,1,1,0,0,1
68,38,4,43.57,2,1,43.57,1,0,1,0,0
69,78,22,63.87,2,0,63.870000000000005,0,0,1,0,0
70,23,66,82.77,5,0,82.77,0,1,0,0,1
71,72,67,76.99,2,1,76.99,1,0,1,0,0
72,46,4,68.64,0,1,68.64,0,1,0,0,0
73,44,19,38.16,3,1,38.16,1,0,0,1,0
74,64,59,79.3,1,2,79.3,0,1,0,0,1
75,68,39,104.04,1,0,104.03999999999999,1,0,0,1,0
76,18,53,71.88,0,0,71.88,1,0,1,0,0
77,70,40,31.43,4,0,31.43,0,1,0,0,0
78,71,24,69.84,2,0,69.84,0,1,0,0,0
79,24,48,75.73,1,0,75.73,1,0,0,1,0
80,68,55,109.81,0,1,109.81,1,1,0,0,1
81,31,46,72.76,2,0,72.76,1,0,1,0,1
82,20,9,47.07,0,0,47.07,0,0,1,0,0
83,46,64,75.17,2,2,75.17,0,1,0,0,0
84,52,31,105.57,2,1,105.57000000000001,0,0,0,1,1
85,40,18,32.28,3,1,32.28,1,0,0,1,1
86,37,36,60.94,3,3,60.940000000000005,1,0,1,0,0
87,68,13,94.17,2,0,94.17,1,0,1,0,0
88,51,36,21.84,2,2,21.84,1,0,0,1,1
89,38,56,46.65,4,1,46.65,1,0,1,0,0
90,71,64,28.28,1,0,28.28,1,0,1,0,0
91,56,53,67.61,2,0,67.61,0,0,1,0,0
92,60,61,115.52,2,1,115.52000000000001,1,1,0,0,0
93,42,34,101.91,2,0,101.91,1,0,1,0,0
94,78,56,64.6,6,1,64.6,1,1,0,0,0
95,62,46,24.42,2,0,24.419999999999998,0,0,1,0,0
96,68,71,117.11,4,1,117.11,0,0,0,1,1
97,51,36,73.03,4,1,73.03,1,1,0,0,0
98,19,41,119.03,2,0,119.02999999999999,1,1,0,0,1
99,66,61,67.99,3,1,67.99000000000001,1,0,1,0,0
100,31,29,105.28,2,0,105.28,0,0,1,0,0
101,21,58,115.0,4,0,115.0,0,0,1,0,0
102,76,19,103.78,0,0,103.78,0,1,0,0,1
103,58,2,102.62,1,1,102.62,1,0,0,1,1
104,52,61,119.63,2,2,119.63000000000001,0,0,0,1,0
105,76,28,108.87,3,1,108.87,0,0,0,1,0
106,22,17,28.1,0,2,28.099999999999998,0,1,0,0,0
107,75,55,86.21,3,0,86.21000000000001,1,0,1,0,1
108,30,44,89.75,1,2,89.75,1,0,1,0,0
109,27,52,94.35,2,0,94.35,0,1,0,0,0
110,66,16,31.58,1,0,31.58,1,1,0,0,1
111,58,62,59.22,2,1,59.22,0,1,0,0,0
112,34,64,25.79,4,1,25.79,0,1,0,0,0
113,64,31,97.04,2,1,97.03999999999999,1,0,1,0,0
114,46,31,28.24,2,2,28.240000000000002,1,0,1,0,0
115,23,56,64.23,2,2,64.23,1,1,0,0,0
116,44,59,38.55,4,0,38.55,0,0,0,1,0
117,20,45,66.21,2,0,66.21,0,1,0,0,1
118,39,1,99.76,0,0,99.76,0,1,0,0,1
119,63,37,49.17,1,1,49.17,1,0,1,0,0
120,74,31,21.84,3,2,21.84,0,1,0,0,0
121,43,65,117.75,1,2,117.75,0,1,0,0,0
122,26,31,49.88,4,1,49.88,0,0,0,1,0
123,20,40,36.4,3,0,36.4,1,1,0,0,0
124,62,52,85.87,4,0,85.86999999999999,0,1,0,0,0
125,46,62,40.36,5,1,40.36,0,0,0,1,0
126,58,65,79.77,2,1,79.77,0,0,1,0,0
127,50,25,91.58,2,2,91.58,1,0,0,1,0
128,64,1,29.53,2,1,29.53,0,0,1,0,1
129,40,30,43.61,3,0,43.61,1,1,0,0,0
130,18,63,55.93,3,2,55.93,1,1,0,0,0
131,37,1,32.3,2,0,32.3,0,1,0,0,1
132,68,11,34.83,0,3,34.83,0,0,0,1,0
133,67,43,73.22,1,1,73.22,1,1,0,0,1
134,72,28,64.38,5,2,64.38000000000001,0,0,0,1,0
135,63,32,80.06,2,0,80.06,0,0,0,1,0
136,26,40,119.33,1,3,119.33,1,0,1,0,0
137,30,22,63.56,1,0,63.559999999999995,1,0,0,1,0
138,24,20,58.04,2,1,58.04,1,0,1,0,0
139,19,8,57.98,1,0,57.98,0,0,0,1,0
140,51,36,44.61,4,2,44.61,0,1,0,0,0
141,53,50,26.03,0,1,26.03,1,0,0,1,0
